salon,grupo,lugar,semana,fecha,alimento,precio,unidades,observaciones
1,4,carulla,1,feb-07,cebolla,1240,lb,
1,4,carulla,1,feb-07,coliflor,19025,lb,Precio obtenido por 200 gramos y empacado en caja plastica
1,4,carulla,1,feb-07,papa,2070,lb,
1,4,carulla,1,feb-07,tomate,1640,lb,
1,4,carulla,1,feb-07,zanahoria,,,producto agotado
1,4,carulla,1,feb-07,fresa,9400,lb,precio obtenido por 250 gramos y empacado en caja plastica
1,4,carulla,1,feb-07,granadilla,6900,lb,
1,4,carulla,1,feb-07,lulo,,,no manejan producto
1,4,carulla,1,feb-07,manzana,5975,lb, 
1,4,carulla,1,feb-07,maracuya,,,no manejan producto
